City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,vaini,100,IN,1562444034,86,15.34,74.49,77.86,10.71
1,port elizabeth,75,US,1562444035,83,39.31,-74.98,93.99,10.29
2,ribeira grande,75,PT,1562444035,83,38.52,-28.7,71.6,3.36
3,hermanus,100,ZA,1562444035,95,-34.42,19.24,60.01,15.99
4,hobart,84,AU,1562443887,93,-42.88,147.33,43.0,5.82
5,rock sound,16,BS,1562444035,74,24.9,-76.2,83.22,15.95
6,pevek,0,RU,1562444035,75,69.7,170.27,47.01,25.48
7,aldan,66,RU,1562444035,91,58.61,125.39,59.3,2.04
8,stykkisholmur,0,IS,1562444036,68,65.08,-22.73,52.08,3.51
9,tutoia,20,BR,1562444036,59,-2.76,-42.27,89.6,13.87
10,antalaha,54,MG,1562444036,98,-14.9,50.28,64.56,2.8
11,ushuaia,75,AR,1562444036,75,-54.81,-68.31,41.0,9.17
